0,3786,-6,0218
0,5342,-6,2579
0,7128,-6,4535
0,9133,-6,6107
1,1211,-6,7474
1,3295,-6,8821
1,524,-7,0533
1,718,-7,2256
1,9088,-7,4046
2,1059,-7,5688
2,3109,-7,7142
2,5169,-7,8562
2,7297,-7,9775
2,9373,-8,1131
3,1327,-8,2821
3,3282,-8,4511
3,5374,-8,5835
3,7476,-8,7137
3,974,-8,745
4,2032,-8,7602
4,4301,-8,7231
4,6535,-8,6596
4,8645,-8,5364
4,9639,-8,26
5,0146,-7,9507
5,027,-7,6322
5,0102,-7,3167
4,9599,-7,0063
4,9597,-6,6869
4,9791,-6,3722
5,0977,-6,0999
5,2734,-5,9299
5,4926,-5,8378
5,7208,-5,8085
5,9495,-5,7892
6,1788,-5,7889
6,4064,-5,7549
6,6341,-5,7242
6,8635,-5,7239
7,0898,-5,6839
7,3143,-5,6209
7,5387,-5,5567
7,7616,-5,4858
7,9745,-5,3686
8,1582,-5,1888
8,3056,-4,9516
8,3933,-4,6572
8,4427,-4,3469
8,5859,-4,0988
8,7726,-3,9155
8,9301,-3,6848
9,0852,-3,451
9,2337,-3,209
9,398,-2,988
9,5568,-2,7615
9,6762,-2,4899
9,7741,-2,204
9,7757,-1,8966
9,6506,-1,6413
9,4605,-1,481
9,2384,-1,399
9,0109,-1,3586
8,7829,-1,3221
8,5552,-1,2815
8,3278,-1,2374
8,1007,-1,1907
7,877,-1,1273
7,6644,-1,0065
7,4438,-0,9167
7,2204,-0,846
6,9933,-0,7989
6,7656,-0,7601
6,5369,-0,7324
6,3083,-0,7046
6,0798,-0,6762
5,8628,-0,5705
5,6459,-0,4648
5,4272,-0,3782
5,1986,-0,4018
4,9706,-0,4307
4,7489,-0,5104
4,5272,-0,5904
4,3063,-0,6741
4,0858,-0,7598
3,8675,-0,856
3,6514,-0,96
3,4395,-1,0802
3,2268,-1,1974
3,0037,-1,2691
2,7805,-1,3408
2,5605,-1,4279
2,3425,-1,5251
2,1301,-1,64
1,9315,-1,7978
1,7387,-1,9686
1,5782,-2,1864
1,4562,-2,4557
1,3304,-2,7217
1,2033,-2,9864
1,0752,-3,2502
0,9418,-3,5088
0,789,-3,745
0,6314,-3,9755
0,5137,-4,2486
0,4076,-4,5298
0,322,-4,8254
0,2451,-5,1254
0,1765,-5,4296
0,1813,-5,747
0,2928,-6,0249
