8,3656,-7,4215
8,331,-7,8198
8,3083,-8,194
8,2995,-8,626
8,2853,-8,9707
8,2835,-9,3999
8,2566,-9,7564
8,2449,-10,1681
8,2491,-10,5792
8,2675,-10,981
8,2949,-11,3493
8,3088,-11,7382
8,2053,-12,0991
8,0188,-12,4239
7,8718,-12,7509
7,6688,-13,0913
7,4899,-13,3776
7,2723,-13,6615
7,0781,-13,957
6,8278,-14,1903
6,5603,-14,2931
6,2561,-14,3262
5,9755,-14,3227
5,7165,-14,144
5,5422,-13,8268
5,3589,-13,4975
5,2332,-13,1585
5,2058,-12,7741
5,3564,-12,3982
5,5071,-12,102
5,6073,-11,7043
5,6897,-11,345
5,7274,-10,9583
5,8158,-10,5327
5,7963,-10,1916
5,5616,-9,9485
5,2697,-9,8443
4,9965,-9,9391
4,7052,-10,0811
4,4554,-10,2462
4,2306,-10,5179
4,1162,-10,9061
4,0375,-11,2819
3,9428,-11,6682
3,8719,-12,0393
3,8414,-12,4325
3,7857,-12,8255
3,7295,-13,2017
3,6973,-13,5893
3,5606,-13,9345
3,2901,-14,0748
2,9742,-14,1024
2,731,-13,9399
2,5146,-13,6774
2,2977,-13,4196
2,1601,-13,092
1,9926,-12,7445
1,8533,-12,3993
1,867,-12,0119
1,8633,-11,5836
1,8793,-11,2084
1,9368,-10,8101
1,9832,-10,4371
2,0813,-10,0676
2,216,-9,6835
2,3285,-9,3277
2,3763,-8,9544
2,4343,-8,5594
2,4403,-8,1357
2,4116,-7,7556
2,2588,-7,4504
2,078,-7,1156
1,9339,-6,803
1,8525,-6,4186
1,7981,-6,0122
1,7571,-5,6526
1,7642,-5,225
1,8152,-4,8378
2,004,-4,5785
2,2681,-4,344
2,5705,-4,2021
2,8385,-4,155
3,0842,-4,3346
3,3646,-4,4863
3,6278,-4,6694
3,9399,-4,7437
4,2243,-4,7681
4,512,-4,7606
4,7928,-4,6394
5,0066,-4,3851
5,1539,-4,0339
5,1969,-3,6596
5,2048,-3,2688
5,2383,-2,8701
5,2122,-2,437
5,1456,-2,0931
5,126,-1,718
5,2183,-1,3212
5,4294,-1,0832
5,651,-0,8055
5,8643,-0,4885
6,1315,-0,3235
6,414,-0,2322
6,7202,-0,1701
6,9803,-0,2332
7,2091,-0,4844
7,3723,-0,7836
7,3774,-1,2205
7,356,-1,6132
7,3105,-1,9684
7,1125,-2,2406
6,8169,-2,3851
6,6125,-2,6368
6,4983,-2,9994
6,5422,-3,4068
6,6322,-3,7574
6,8908,-3,936
7,2082,-3,8883
7,4914,-3,8426
7,7705,-3,8336
8,0888,-3,8939
8,3345,-4,0073
8,5701,-4,2613
8,6235,-4,6469
8,5858,-5,0337
8,5397,-5,4317
8,4785,-5,8489
8,4226,-6,2232
8,3612,-6,5941
8,3497,-6,9774
8,3524,-7,1338
